Comment,Designator,Footprint,LCSC
0.8pF,C100,C_0402_1005Metric,C115605
1.2pF,"C101,C102",C_0402_1005Metric,C115613
1K,"R1,R3,R32,R35,R40,R41,R5,R62,R63,R64,R65,R66,R67",R_0402_1005Metric,C11702
2.2uF,"C62,C64,C65,C70",C_0402_1005Metric,C12530
SX1280,U70,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm,C125969
0.5pF,C104,C_0402_1005Metric,C147327
AO3401A,Q20,SOT-23,C15127
10nF,"C71,C74",C_0402_1005Metric,C15195
100pF,"C10,C103",C_0402_1005Metric,C1546
10uF,C2,C_0402_1005Metric,C15525
SH_POW,J202,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402
SH_PPM,J203,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403
SH_LED,J204,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
"4.7uF, 35V",C20,C_0603_1608Metric,C162274
USB_C_Receptacle,U52,USB_TYPE-C-31-M-12,C165948
1N5819,D20,D_SOD-323_HandSoldering,C191023
Z5V6,D21,D_SOD-323_HandSoldering,C22612
2.5nH,L102,L_0402_1005Metric,C237342
330R,R68,R_0402_1005Metric,C25104
10K,"R22,R30,R31,R33,R34",R_0402_1005Metric,C25744
12K,R60,R_0402_1005Metric,C25752
15K,"R21,R42",R_0402_1005Metric,C25756
2K2,R43,R_0402_1005Metric,C25879
3.3K,R4,R_0402_1005Metric,C25890
5.1K,"R56,R57",R_0402_1005Metric,C25905
3nH,L101,L_0402_1005Metric,C275284
SY8201CABC,U20,TSOT-23-6,C2763455
5.6uH,L20,LVF252A12,C280501
ESP32-S2,U1,ESP32-S2_QFN-56-1EP_7x7mm_P0.4mm,C2840995
100nF,"C1,C13,C14,C21,C31,C4,C40,C5,C63,C7,C72,C73,C8",C_0402_1005Metric,C307331
10pF,"C11,C12,C22,C60,C61",C_0402_1005Metric,C32949
68K,R20,R_0402_1005Metric,C36871
Crystal_ESP8285,U61,Crystal_SMD_2016-4Pin_2.0x1.6mm,C390789
Crystal_ESP32,U2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C501798
1uF,"C3,C6,C9",C_0402_1005Metric,C52923
LED_yellow,D60,LED_0603_1608Metric,C72038
LED_blue,D40,LED_0603_1608Metric,C72041
LED_green,D41,LED_0603_1608Metric,C72043
Z3V3,D42,D_SOD-323_HandSoldering,C75073
Crystal_SX1280,U71,Crystal_SMD_2016-4Pin_2.0x1.6mm,C841202
LBSS84LT1G,"Q30,Q32",SOT-23,C8492
2N7002,"Q31,Q33",SOT-23,C8545
Conn_Coaxial,J60,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373
"22uF, 6V3",C23,C_0402_1005Metric,C919306
ESP8285H16,U60,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,C967019
VIN,"J205,J206,J207,J208,J61,JP1,JP2,JP60,TP1,TP2,TP3,U30,U31",TGD-antenna-THT,~
