Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,7.95,0.92,90.0,top
C2,10uF,C_0402_1005Metric,9.75,0.92,90.0,top
C3,1uF,C_0402_1005Metric,8.85,0.92,90.0,top
C4,100nF,C_0402_1005Metric,16.15,3.9,90.0,top
C5,100nF,C_0402_1005Metric,16.3,8.03,90.0,top
C6,1uF,C_0402_1005Metric,16.95,9.83,90.0,top
C7,100nF,C_0402_1005Metric,16.1,9.83,90.0,top
C8,100nF,C_0402_1005Metric,5.6,9.75,-90.0,top
C9,1uF,C_0402_1005Metric,6.6,0.95,90.0,top
C10,100pF,C_0402_1005Metric,5.7,2.5,-90.0,top
C11,10pF,C_0402_1005Metric,5.25,3.85,180.0,top
C12,10pF,C_0402_1005Metric,5.55,8.0,-90.0,top
C13,100nF,C_0402_1005Metric,7.7,-0.9,-90.0,top
C14,100nF,C_0402_1005Metric,10.65,0.95,-90.0,top
C20,"4.7uF, 35V",C_0603_1608Metric,-16.15,-5.6,90.0,top
C21,100nF,C_0402_1005Metric,-11.65,-4.8,-90.0,top
C22,10pF,C_0402_1005Metric,-14.27,-2.3,180.0,top
C23,"22uF, 6V3",C_0402_1005Metric,-12.85,-1.9,-90.0,top
C31,100nF,C_0402_1005Metric,-2.9,-6.328249,135.0,top
C40,100nF,C_0402_1005Metric,11.55,0.95,-90.0,top
C60,10pF,C_0402_1005Metric,5.7,0.67,90.0,top
C61,10pF,C_0402_1005Metric,2.83,-0.3,180.0,top
C62,2.2uF,C_0402_1005Metric,2.8,3.5,0.0,top
C63,100nF,C_0402_1005Metric,2.85,7.15,0.0,top
C64,2.2uF,C_0402_1005Metric,2.82,5.3,180.0,top
C65,2.2uF,C_0402_1005Metric,0.9,7.15,180.0,top
C70,2.2uF,C_0402_1005Metric,-7.65,-1.125,0.0,top
C71,10nF,C_0402_1005Metric,-13.705,3.6,180.0,top
C72,100nF,C_0402_1005Metric,-9.05,-1.55,-90.0,top
C73,100nF,C_0402_1005Metric,-4.25,-1.15,0.0,top
C74,10nF,C_0402_1005Metric,-13.705,4.45,180.0,top
C100,0.8pF,C_0402_1005Metric,-9.0,7.9,90.0,top
C101,1.2pF,C_0402_1005Metric,-8.0,7.9,90.0,top
C102,1.2pF,C_0402_1005Metric,-6.5,8.4,0.0,top
C103,100pF,C_0402_1005Metric,-6.8,9.4,180.0,top
C104,0.5pF,C_0402_1005Metric,-6.0,6.9,90.0,top
D20,1N5819,D_SOD-323_HandSoldering,15.2,-0.45,0.0,top
D21,Z5V6,D_SOD-323_HandSoldering,-12.9,-8.9,-90.0,top
D40,LED_blue,LED_0603_1608Metric,21.75,-1.25,180.0,top
D41,LED_green,LED_0603_1608Metric,21.75,0.35,180.0,top
D42,Z3V3,D_SOD-323_HandSoldering,-5.95,-2.5,90.0,top
D60,LED_yellow,LED_0603_1608Metric,20.6,9.5,180.0,top
J60,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,-11.4,8.3,180.0,top
J61,Conn_01x01_Female,TGD-antenna-THT,-11.2,8.3,90.0,bottom
J202,SH_POW,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,-20.2,-6.55,-90.0,top
J203,SH_PPM,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,20.2,4.7,90.0,top
J204,SH_LED,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-20.2,0.15,-90.0,top
J205,VIN,TGD-antenna-THT,-20.25,-8.5,-90.0,bottom
J206,GND,TGD-antenna-THT,-20.25,-4.6,-90.0,bottom
J207,FOO,TGD-antenna-THT,20.25,2.25,90.0,bottom
J208,BAR,TGD-antenna-THT,20.25,7.15,90.0,bottom
L20,5.6uH,LVF252A12,-10.95,-2.2,90.0,top
L101,3nH,L_0402_1005Metric,-8.5,6.4,0.0,top
L102,2.5nH,L_0402_1005Metric,-7.0,6.9,90.0,top
Q20,AO3401A,SOT-23,-15.9,-9.05,180.0,top
