Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,8.1,0.9,90.0,top
C2,10uF,C_0402_1005Metric,9.947514,0.9,90.0,top
C3,1uF,C_0402_1005Metric,9.0,0.9,90.0,top
C4,100nF,C_0402_1005Metric,16.2,3.9,90.0,top
C5,100nF,C_0402_1005Metric,16.2,7.9,90.0,top
C6,1uF,C_0402_1005Metric,16.95,9.7,90.0,top
C7,100nF,C_0402_1005Metric,16.1,9.7,90.0,top
C8,100nF,C_0402_1005Metric,5.120603,8.469961,0.0,top
C9,1uF,C_0402_1005Metric,6.6,0.7,90.0,top
C10,100pF,C_0402_1005Metric,5.7,2.5,-90.0,top
C11,10pF,C_0402_1005Metric,5.25,3.85,180.0,top
C12,10pF,C_0402_1005Metric,5.122149,7.621793,0.0,top
C13,100nF,C_0402_1005Metric,6.9,-0.7,180.0,top
C16,10uF,C_0402_1005Metric,-6.1,-4.0,135.0,top
C17,100nF,C_0402_1005Metric,-4.8,-5.3,135.0,top
C20,"4.7uF, 35V",C_0603_1608Metric,-12.3,-7.6,-90.0,top
C21,100nF,C_0402_1005Metric,-11.55,-5.1,-90.0,top
C22,10pF,C_0402_1005Metric,-17.5,0.32,-90.0,top
C23,"22uF, 6V3",C_0603_1608Metric,-13.706429,-1.525436,180.0,top
C31,100nF,C_0402_1005Metric,5.1,-5.2,45.0,top
C40,100nF,C_0402_1005Metric,11.598825,0.959078,-90.0,top
C60,10pF,C_0402_1005Metric,5.7,0.67,90.0,top
C61,10pF,C_0402_1005Metric,4.3,-0.3,180.0,top
C62,2.2uF,C_0402_1005Metric,2.8,3.5,0.0,top
C63,100nF,C_0402_1005Metric,2.85,7.15,0.0,top
C64,2.2uF,C_0402_1005Metric,2.82,5.3,180.0,top
C65,2.2uF,C_0402_1005Metric,1.0,7.15,180.0,top
C70,2.2uF,C_0402_1005Metric,-7.65,-1.125,0.0,top
C71,10nF,C_0402_1005Metric,-13.705,3.6,180.0,top
C72,100nF,C_0402_1005Metric,-9.05,-1.55,-90.0,top
C73,100nF,C_0402_1005Metric,-5.8,-1.1,180.0,top
C74,10nF,C_0402_1005Metric,-13.705,4.45,180.0,top
C100,0.8pF,C_0402_1005Metric,-9.0,7.9,90.0,top
