Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
C100,0402,1,0.8pF,C115605
"C101, C102",0402,2,1.2pF,C115613
"C103, C18",0402,2,100pF,C1546
C104,0402,1,0.5pF,C147327
"C14, C15, C17, C26, C27, C30, C31, C40, C63, C72, C73",0201,11,100nF,C161494
"C16, C24",0402,2,10uF,C15525
C20,0603,1,"4.7uF, 35V",C162274
"C21, C25, C28, C32",0402,4,1uF,C52923
"C22, C37, C38, C60, C61",0201,5,10pF,C384956
C23,0603,1,"22uF, 6V3",C59461
"C34, C71, C74",0201,3,10nF,C285010
"C62, C64, C65, C70",0402,4,2.2uF,C12530
"D1, D2",D_SOD-923,2,ESD9B3,C96512
D21,D_SOD-523,1,Z5V6,C725511
D4,D_SOD-523,1,ESD5Z5V0,C502546
D40,0402,1,LED_blue,C130724
D41,0402,1,LED_green,C965793
D5,D_SOD-323,1,1N5819,C191023
D6,D_SOD-123F,1,SMF18A,C19077512
D60,0402,1,LED_yellow,C130721
J1,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST Bootstrapping,C160405
"J14, J9",1206,2,RFANT3216120A5T,C127629
"J2, J206, J6",GE_PwrPad1,3,GND,
J205,GE_PwrPad1,1,VIN,
J207,GE_PwrPad1,1,FOO,
J208,GE_PwrPad1,1,BAR,
J3,Rotini-pin-SL,1,Spare1,
J4,GE_PwrPad1,1,LED_HV,
J5,GE_PwrPad1,1,3V3,
J7,Rotini-pin-SL,1,Spare2,
L101,0402,1,3nH,C275284
L102,0402,1,2.5nH,C237342
L20,LVF252A12,1,5.6uH,C280501
Q1,SOT-363_SC-70-6,1,BSS138PS,C2912548
Q20,SOT-23-small,1,AO3401A,C15127
Q30,SOT-323_SC-70,1,LBSS84LT1G,C383208
Q31,SOT-323_SC-70,1,2N7002W,C7420322
"R2, R6",0402,2,100R,C25076
R20,0201,1,68K,C851782
"R21, R42",0201,2,15K,C473452
"R22, R30, R31, R32, R37, R38, R39, R44, R62, R63, R64, R65, R66, R68, R7",0201,15,10K,C473048
"R33, R34, R35, R36, R40, R41, R67",0201,7,1K,C138165
R43,0201,1,2K2,C473508
"R56, R57",0201,2,5.1K,C270344
R60,0201,1,12K,C320670
TP1,PogoPad1,1,ELRS_TX,
TP2,PogoPad1,1,ELRS_RX,
TP4,PogoPad1,1,E_BOOT,
TP6,PogoPad1,1,TX0,
TP7,PogoPad1,1,ELRS_BOOT,
TP8,PogoPad1,1,RX0,
U20,TSOT-23-6,1,SY8201CABC,C2763455
U3,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,C404329
U31,TGD-TFLGA-16_3x3mm,1,H3LIS331DL,C2655074
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,ESP32-S3FN8,C2913196
U5,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_ESP32,C501798
U52,USB_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U60,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP8285H16,C967019
U61,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_ESP8285,C390789
U70,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm,1,SX1280,C125969
U71,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_SX1280,C3034316
U9,SOT-666,1,USBLC6-2P6,C2827693
