Designator,Mid X,Mid Y,Rotation,Layer
_2,8.0,-8.0,0.0,top
,-8.0,-8.0,0.0,top
C100,-10.9,7.9,90.0,top
C101,-9.9,7.9,90.0,top
C102,-8.4,8.4,0.0,top
C103,-9.4,9.35,180.0,top
C104,-7.9,6.9,90.0,top
C14,8.2,9.6,90.0,top
C15,4.2,7.5,270.0,top
C16,-5.3,-1.7,45.0,top
C17,-5.4,-4.1,315.0,top
C18,11.9,9.7,270.0,top
C20,-12.3,-7.6,270.0,top
C21,-11.55,-5.1,270.0,top
C22,-15.845,0.9,0.0,top
C23,-13.706429,-1.525436,180.0,top
C24,9.7,9.7,270.0,top
C25,10.6,9.7,270.0,top
C26,4.2,5.28,270.0,top
C27,6.3,-1.3,90.0,top
C28,5.034834,-1.002162,0.0,top
C30,14.7,3.0,180.0,top
C31,5.6,-4.0,45.0,top
C32,15.6,7.0,180.0,top
C34,14.3,6.8,90.0,top
C37,17.3,6.0,270.0,top
C38,16.1,3.0,180.0,top
C40,-17.245,-0.5,0.0,top
C60,4.0,0.0,0.0,top
C61,2.6,0.0,180.0,top
C62,2.8,4.3,0.0,top
C63,2.6,3.5,0.0,top
C64,2.8,5.9,0.0,top
C65,1.0,7.15,180.0,top
C70,-6.9,-1.5,270.0,top
C71,-13.2,3.6,90.0,top
C72,-10.4,-1.0,180.0,top
C73,-5.9,-0.3,270.0,top
C74,-13.2,5.0,270.0,top
D1,17.5,1.0,90.0,top
D2,17.5,4.5,90.0,top
D21,-13.9,-8.2,270.0,top
D4,-16.5,2.0,0.0,top
D40,0.0,10.2,180.0,top
D41,3.4,10.2,180.0,top
D5,8.2,-3.6,0.0,top
D6,-8.5,-2.7,90.0,top
D60,-3.4,10.2,0.0,top
J1,0.0,-8.1,0.0,top
J14,16.0,9.7,0.0,top
J2,-21.3,3.75,0.0,top
J205,-21.3,-3.75,0.0,top
J206,-21.3,-7.5,0.0,top
J207,21.3,0.0,0.0,top
J208,21.3,3.75,180.0,top
J3,-17.7,-5.6,90.0,top
J4,-21.3,7.5,0.0,top
J5,-21.3,0.0,0.0,top
J6,21.3,7.5,0.0,top
J7,-17.7,-1.9,90.0,top
J9,-16.0,9.7,180.0,top
L101,-10.4,6.4,0.0,top
L102,-8.9,6.9,90.0,top
L20,-10.85,-2.8,90.0,top
Q1,15.4,0.7,0.0,top
Q20,-16.3,-8.5,0.0,top
Q30,-16.2,6.1,0.0,top
Q31,-16.2,3.8,0.0,top
R2,17.5,2.7,90.0,top
R20,-15.845,0.2,0.0,top
R21,-15.838164,-0.508813,180.0,top
R22,-12.4,-9.5,0.0,top
R30,-13.6,6.2,0.0,top
R31,-13.9,5.0,270.0,top
R32,-13.9,3.6,90.0,top
R33,16.1,-0.9,180.0,top
R34,16.1,2.3,180.0,top
R35,14.7,2.3,0.0,top
R36,14.7,-0.9,0.0,top
R37,-5.9,5.8,90.0,top
R38,-4.9,7.0,0.0,top
R39,7.7,-1.3,90.0,top
R40,-1.7,10.3,0.0,top
R41,1.7,10.3,0.0,top
R42,-17.245,0.9,0.0,top
R43,-17.245,0.2,180.0,top
R44,8.4,-1.3,90.0,top
R56,11.3,-3.6,90.0,top
R57,10.6,-3.6,270.0,top
R6,17.5,-0.8,90.0,top
R60,2.6,5.1,0.0,top
R62,2.6,6.7,0.0,top
R63,-2.1,7.0,0.0,top
R64,-13.547762,2.550798,180.0,top
R65,-5.9,1.1,270.0,top
R66,-5.9,2.5,270.0,top
R67,-3.5,7.0,180.0,top
R68,1.1,-1.0,180.0,top
R7,8.9,9.6,90.0,top
TP1,3.0,-9.8,0.0,bottom
TP2,1.0,-9.8,0.0,bottom
TP4,-3.0,-9.8,0.0,bottom
TP6,17.3,6.7,180.0,bottom
TP7,-1.0,-9.8,0.0,bottom
TP8,17.3,4.8,180.0,bottom
U20,-13.8,-4.2,90.0,top
U3,-3.0,-3.0,225.0,top
U31,3.0,-3.0,225.0,top
U4,9.3,4.1,0.0,top
U5,15.4,4.7,0.0,top
U52,17.0,-5.915,0.0,top
U6,0.0,7.8,90.0,bottom
U60,-1.78,3.025,0.0,top
U61,3.3,1.7,180.0,top
U70,-9.535,2.58,90.0,top
U71,-13.905,0.625,90.0,top
U9,10.3,-1.7,0.0,top
